doi,fields
10.1007/s004420050815,Nutrient_Food choice_Adenostyles alliariae_Petasites albus_Miramella alpina_Polyphage_Generalist and specialist species_Herbivore_Botany_Biology_Zoology
10.1111/j.1540-5915.2012.00361.x,Business_Marketing_Employee research_Organisation climate_Survey data collection_Public relations_Information security_Organizational behavior management_Deterrence theory_Organizational culture_Theory of planned behavior
10.1046/j.1365-2125.1997.00616.x,Public health_Pediatrics_Alternative medicine_Adverse drug reaction_Response to intervention_Drug reaction_Hospital based_Hospital doctor_Family medicine_Pharmacovigilance_Medicine
10.1016/j.socscimed.2008.12.031,Psychology_Health care_Internal audit_Internal control_Perceived organizational support_Psychological safety_Public relations_Focus group_Deterrence theory_Organizational culture
10.1080/03235408.2013.858879,Horticulture_Lepidoptera genitalia_PEST analysis_Essential oil_Phthorimaea operculella_Gelechiidae_Pennyroyal_Lavender_Lavandula angustifolia_Agronomy_Biology
10.1111/j.1558-5646.1975.tb00861.x10.2307/2407076,Host (biology)_Plant tolerance to herbivory_Ecology_Heliconius erato_Insect_Butterfly_Heliconiini_Coevolution_Herbivore_Biology
10.1016/j.phytochem.2011.01.040,Midgut_Plant defense against herbivory_Insect_Tannin_Protein digestion_Herbivore_Botany_Polyphenol_Proanthocyanidin_Biology
10.1146/annurev.ento.51.110104.151146,Agriculture_Biopesticide_Integrated pest management_Biotechnology_Pesticide_Pyrethrum_Commercialization_Agricultural pest_Biology_Food processing
10.1080/13691058.2015.1043144,Gender studies_Reproductive health_Norm (social)_Psychology_Qualitative research_Family planning_Promiscuity_Population_Focus group_Interpersonal relationship
10.1177/0887403404270601,Psychology_Human factors and ergonomics_Injury prevention_Recidivism_Sexual violence_Sex offender_Population_Poison control_Suicide prevention_Criminology
10.1002/jcop.20404,Compassion fatigue_Burnout_Psychology_Occupational safety and health_Mediation (Marxist theory and media studies)_Social support_Deterrence theory_Altruism_Structural equation modeling_Social psychology
10.1007/s11606-013-2342-3,Retrospective cohort study_Physical therapy_Emergency medicine_Cohort study_Medicare Part D_Cost sharing_Anti-diabetic medication_Medication adherence_Medicare beneficiary_Diabetes mellitus_Medicine
10.2139/ssrn.1022682,Welfare_Economics_Microeconomics_Vertical integration_Software_Consumer welfare_Consumer demand_Industrial organization_Dynamic demand
10.1094/phyto.2003.93.3.316,Germination_Veraison_Inflorescence_Inoculation_Botrytis cinerea_Piceid_Anthesis_Conidium_Botany_Biology
10.1016/j.tmrv.2015.12.001,Surgery_Demography_Whole blood_Life course approach_Young adult_Donation_Patient participation_Demographics_Blood donor_Blood collection_Medicine
10.1111/j.1755-263x.2010.00121.x,Personal consumption expenditures price index_Livestock_Business_International trade_Endangered species_Wildlife trade_Bushmeat_Environmental protection_Deterrence theory_CITES
10.1007/s10964-009-9453-5,Social relation_Developmental psychology_Legal psychology_Health psychology_Psychology_Self-disclosure_Perception_Parenting styles_Legitimacy_Juvenile delinquency
10.1098/rspb.2017.1424,Aposematism_Predation_Ecology_Biology
10.1155/2016/8624230,Prosocial behavior_Incentive_Survey instrument_Blood donor_Donor pool_School age child_Medical education_Altruism_Medicine_Social psychology
10.1111/j.1465-7295.1991.tb01272.x,Criminal justice_Economics_Sanctions_Misdemeanor_Imprisonment_Prison_Earnings_Population_Criminology_Certainty
10.1016/j.addbeh.2004.08.007,Structured interview_Psychology_Human factors and ergonomics_Injury prevention_Cannabis_Effects of cannabis_Driving under the influence_Poison control_Suicide prevention_Social psychology
10.1093/heapol/15.1.43,Socioeconomic status_Vasectomy_Family support_Family planning_Support family_Contraceptive use_Socioeconomics_Economic growth_Fertility_Medicine_Developing country
10.1073/pnas.0307843101,Multi-mode optical fiber_Birefringence_Composite material_Glass fiber_Materials science_Optical fiber_Refractive index profile_Euplectella_Fiber_Sponge spicule
10.3390/ijerph16061037,Emerging markets_Public health_Business_Marketing_Survey instrument_Positive attitude_Food safety_Sustainable agriculture_Green marketing_Situational ethics
10.1038/srep24082,Hemolymph_Superoxide dismutase_Leaf beetle_Metarhizium_Metarhizium anisopliae_Extracellular_Phaedon cochleariae_Reactive oxygen species_Biochemistry_Botany_Biology
10.1038/sj.clpt.6100290,Risk assessment_Internal medicine_Genotype_Surgery_Hazard ratio_Comorbidity_Severity of illness_Confidence interval_Proportional hazards model_Risk factor_Medicine
10.1086/261307,Positive economics_Psychology_Social condition_Capital punishment_Public relations
10.1073/pnas.242735499,Biophysics_Resting potential_Ecology_Parabuthus transvaalicus_Mechanism of action_Scorpion_Venom_Extracellular_Depolarization_Biology_Electrochemical gradient
10.1007/s10620-009-1092-x,Internal medicine_Surgery_Morning_Evening_Colonoscopy_Endoscopy_Drug compliance_Split dose_Bowel preparation_Hepatology_Medicine
10.1002/jae.861,Statistics_Economic model_Econometrics_Economics_Random effects model_Simultaneous equations_Estimator_Inference_Fixed effects model_Hausman test_Panel data
10.3354/meps130135,Host (biology)_Delisea pulchra_Aplysia parvula_Quantitative variation_Botany_Biology
10.1111/j.1365-3032.2011.00824.x,Lamiaceae_Essential oil_Myrtaceae_Cabbage looper_Mentha arvensis_Lauraceae_Syzygium_Cinnamomum zeylanicum_Botany_Biology
10.1073/pnas.0608595103,Ubiquitin ligase_Molecular biology_Helicase_Ubiquitin-conjugating enzyme_Postreplication repair_Ubiquitin_HLTF_Chromosomal region_Proliferating cell nuclear antigen_Biology
10.1073/pnas.1018962108,Modularity_Distributed computing_Dynamic network analysis_Metrics_Network topology_Mobile phone_Physical Internet_Evolving networks_Computer science_Social network
10.3354/meps127195,Coral reef fish_Ecology_Nutritional quality_Fishery_Biology_Sponge spicule
10.1016/j.socscimed.2010.05.025,Rural area_Social medicine_Socioeconomic status_Health care_Qualitative research_Psychological intervention_Population_Socioeconomics_Obstetric transition_Medicine_Gerontology
10.1016/j.jinsphys.2011.12.002,Pollinator_Nectar_Foraging_Longevity_Sugar_Sucrose_Nicotine_Toxicology_Herbivore_Botany_Biology
10.1038/s41598-017-02323-w,Environmental resource management_Livestock_Scientific evidence_Peer review_Business_Carnivore_Predation_Psychological intervention_Natural enemies_Limited evidence_Environmental health
10.3354/ab00188,Bioassay_Omnivore_Palatability_Predation_Krill_Chemical defense_Botany_Benthic zone_Biology_Predator
10.1111/j.1549-0831.1995.tb00568.x,Welfare_Social class_Rural area_Economics_Poverty_Redistribution (cultural anthropology)_Internal migration_Population_Development economics_Immigration
10.1007/s11605-018-3843-5,Internal medicine_Surgical treatment_In hospital mortality_Colorectal cancer_Medicine
10.1093/ejo/cjl081,Psychiatry_Intensive care medicine_Alternative medicine_Clinical Practice_Mechanotherapy_Current management_Medicine
10.1111/j.1745-9133.2005.00306.x,Engineering_Vulnerability_Social connectedness_Accountability_Credence_Poison control_Computer security_Suicide prevention_Unit of analysis_Deterrence theory_Criminology
10.1177/001112878302900105,Public opinion_Psychology_Injury prevention_Law_Objectivity (philosophy)_Crime prevention_Supreme court_Poison control_Suicide prevention_Deterrence theory_Criminology
10.2478/v10045-010-0071-8,Larva_Lepidoptera genitalia_PEST analysis_Pyralidae_Relative growth rate_Artemisia annua_Glyphodes pyloalis_Instar_Toxicology_Agronomy_Biology
10.1016/j.tranpol.2017.02.004,Public policy_Advertising_Early adopter_Business_Sustainable transport_Car ownership_Population_Commercial scale_Multivariate analysis_Demographic economics_Deterrence theory
10.1111/j.1467-9930.1993.tb00104.x,Agriculture_Empirical research_Effective safety training_Economics_Occupational safety and health_Enforcement_Public relations_Comprehension
10.1242/jeb.035535,Auditory fatigue_Sensation_Psychology_Sound exposure_Food motivation_Communication_Habituation_Audiology_Sound pressure_Sensory system_Analysis of variance
10.1016/0304-405x(94)00823-j,Shareholder_Event study_Business_Market for corporate control_Demise_Monetary economics_Deterrence theory_Pill
10.1111/j.1468-0297.2009.02288.x,Norm (social)_Psychology_Social dilemma_Free rider problem_Anger_Enforcement_Social psychology
10.1046/j.1365-2915.2001.00288.x,Pyrethroid_Culex quinquefasciatus_Anopheles gambiae_Carbosulfan_Deltamethrin_Bifenthrin_Nuisance_Mansonia_Toxicology_Biology
10.1017/s0954579412000909,Developmental psychology_Psychology_Survey research_Young adult_Sibling_Longitudinal study_Adolescent health_Causal association_Reverse causation_Strengths and weaknesses_Clinical psychology
