doi,title,pmid,authors,year,issns,supporting_cites,disputing_cites,mentioning_cites,total_cites,scite_report_link,fields,first_approach,second_approach,third_approach
10.1016/0304-405x(94)00823-j,Poison or placebo? Evidence on the deterrence and wealth effects of modern antitakeover measures,,"['Robert Comment', 'G.William Schwert']",1995.0,['0304-405X'],45.0,7.0,339.0,391.0,https://scite.ai/reports/poison-or-placebo-evidence-on-KKVQ88,Shareholder_Event study_Business_Market for corporate control_Demise_Monetary economics_Deterrence theory_Pill,0.0,0.0,0.0
10.1017/s0033291714000129,What is the impact of mental health-related stigma on help-seeking? A systematic review of quantitative and qualitative studies,,"['S. Clement', 'O. Schauman', 'T. Graham', 'F. Maggioni', 'S. Evans-Lacko', 'N. Bezborodovs', 'C. Morgan', 'N. Rüsch', 'J. S. L. Brown', 'G. Thornicroft']",2014.0,"['0033-2917', '1469-8978']",44.0,2.0,712.0,758.0,https://scite.ai/reports/what-is-the-impact-of-rPpEmV,Psychiatry_Mental health_Ethnic group_Stigma (botany)_Qualitative research_Psychological intervention_Help-seeking_Social stigma_Population_Medicine,0.0,0.0,0.0
10.1126/science.1163732,A Glucosinolate Metabolism Pathway in Living Plant Cells Mediates Broad-Spectrum Antifungal Defense,,"['P. Bednarek', 'M. Pislewska-Bednarek', 'A. Svatos', 'B. Schneider', 'J. Doubsky', 'M. Mansurova', 'M. Humphry', 'C. Consonni', 'R. Panstruga', 'A. Sanchez-Vallet', 'A. Molina', 'P. Schulze-Lefert']",2009.0,"['0036-8075', '1095-9203']",38.0,0.0,831.0,869.0,https://scite.ai/reports/a-glucosinolate-metabolism-pathway-in-grKZZ9,Gene_Myrosinase_Plant cell_Enzyme_Metabolic pathway_Glucosinolate_Arabidopsis_Camalexin_Biochemistry_Biology,0.0,0.0,0.0
10.1046/j.1365-2125.2001.01306.x,Attitudes and knowledge of hospital pharmacists to adverse drug reaction reporting,11167664.0,"['Christopher F. Green', 'David R. Mottram', 'Philip H. Rowe', 'Munir Pirmohamed']",2001.0,['0306-5251'],37.0,2.0,117.0,156.0,https://scite.ai/reports/attitudes-and-knowledge-of-hospital-4RLQAP,Epidemiology_Public health_Pediatrics_Hospital pharmacy_Alternative medicine_Response rate (survey)_Adverse drug reaction_Yellow Card Scheme_Family medicine_Pharmacovigilance_Medicine,0.0,0.0,0.0
10.1017/cbo9780511897948,The Neural Crest,,"['Nicole Le Douarin', 'Chaya Kalcheim']",1999.0,[],37.0,0.0,1472.0,1509.0,https://scite.ai/reports/the-neural-crest-xYYxGD,Neural fold_Neural crest_Neuroscience_Neural plate_Cranial neural crest_Cardiac neural crest cells_Neural crest cell differentiation_Neural crest formation_Neural crest cell migration_Biology,0.0,0.0,0.0
10.1104/pp.011015,Modulation of CYP79 Genes and Glucosinolate Profiles in Arabidopsis by Defense Signaling Pathways,12529537.0,"['Michael Dalgaard Mikkelsen', 'Bent Larsen Petersen', 'Erich Glawischnig', 'Anders Bøgh Jensen', 'Erik Andreasson', 'Barbara Ann Halkier']",2003.0,"['0032-0889', '1532-2548']",33.0,3.0,256.0,292.0,https://scite.ai/reports/modulation-of-cyp79-genes-and-KLO281,Isozyme_Plant defense against herbivory_Arabidopsis thaliana_Jasmonate_Glucosinolate_Salicylic acid_Jasmonic acid_Arabidopsis_Biochemistry_Biology,0.0,0.0,0.0
10.1051/agro:2008021,"Plant drought stress: effects, mechanisms and management",,"['M. Farooq', 'A. Wahid', 'N. Kobayashi', 'D. Fujita', 'S. M. A. Basra']",2009.0,"['1774-0746', '1773-0155']",31.0,3.0,720.0,754.0,https://scite.ai/reports/plant-drought-stress-effects-mechanisms-YVKKGK,Osmolyte_Ecophysiology_Plant physiology_Drought tolerance_Osmoprotectant_Mass screening_Plant protein_Botany_Biology_Abiotic stress,0.0,0.0,0.0
10.1186/1742-4755-10-40,Drivers and deterrents of facility delivery in sub-Saharan Africa: a systematic review,23962135.0,"['Cheryl A Moyer', 'Aesha Mustafa']",2013.0,['1742-4755'],29.0,2.0,188.0,219.0,https://scite.ai/reports/drivers-and-deterrents-of-facility-XAOXRk,Socioeconomic status_Psychological intervention_Residence_Attendance_Birth order_Childbirth_Multivariate analysis_Medicine_Developing country_Environmental health,0.0,0.0,0.0
10.1162/003465302317331919,Crime Rates and Local Labor Market Opportunities in the United States: 1979–1997,,"['Eric D. Gould', 'Bruce A. Weinberg', 'David B. Mustard']",2002.0,"['0034-6535', '1530-9142']",28.0,2.0,374.0,404.0,https://scite.ai/reports/crime-rates-and-local-labor-NXyznN,Fell_Commit_Instrumental variable_Economics_Causality_Unemployment_Family characteristics_Demographic economics_Deterrence theory_Simultaneity,0.0,0.0,0.0
10.1086/468061,A Fine is a Price,,"['Uri Gneezy', 'Aldo Rustichini']",2000.0,"['0047-2530', '1537-5366']",27.0,2.0,533.0,562.0,https://scite.ai/reports/a-fine-is-a-price-Zp01EP,Positive economics_Economics_Motivation crowding theory_Welfare economics_Deterrence theory,0.0,0.0,0.0
